GEO_NAME,0,1
Truax,,3.0
Vilas,,108.0
Regent,,277.0
Leopold,,53.0
Sherman,,96.0
Waunona,,118.0
Elvehjem,,410.0
Glendale,,278.0
Hiestand,,215.0
Marbella,,7.0
Bay Creek,,132.0
Blackhawk,,74.0
Burr Oaks,,89.0
Eken Park,,90.0
Faircrest,,116.0
Greenbush,,50.0
Greentree,,225.0
Greystone,,9.0
Hawthorne,,48.0
Highlands,,111.0
Lake Edge,,261.0
Marquette,,97.0
Meadowood,,240.0
Millstone,,4.0
Oakbridge,,3.0
Ridgewood,,148.0
Twin Oaks,,9.0
Woodlands,,6.0
Wyndemere,,1.0
East Bluff,,1.0
Elderberry,,133.0
Maple Wood,,1.0
Monona Bay,,26.0
Nobel Park,,22.0
North Star,,155.0
Sauk Creek,,81.0
Sauk Creek,,8.0
Vera Court,,3.0
Arbor Hills,,181.0
Bluff Acres,,182.0
Eastmorland,,280.0
Rocky Bluff,,53.0
Westmorland,,214.0
Berkley Oaks,,12.0
Capitol View,,82.0
Dunn's Marsh,,75.0
East Buckeye,,230.0
Emerson East,,66.0
Lerdahl Park,,101.0
Madison West,,862.0
Mayfair Park,,116.0
Summit Woods,,64.0
Sunset Hills,,35.0
VanChaMasShe,,15.0
Walnut Grove,,86.0
Burke Heights,,70.0
Cherokee Park,,69.0
Country Grove,,58.0
Glacier Ridge,,70.0
High Crossing,,347.0
Liberty Place,,28.0
Majestic Oaks,,23.0
Maple-Prairie,,72.0
Mendota Hills,,25.0
Orchard Ridge,,338.0
Parkwood West,,1.0
Prairie Hills,,207.0
Richmond Hill,,36.0
Secret Places,,57.0
Sprecher East,,282.0
Spring Harbor,,183.0
State-Langdon,,7.0
Stone Meadows,,116.0
Tenney-Lapham,,91.0
Cardinal Glenn,,67.0
Dudgeon-Monroe,,174.0
Glen Oak Hills,,83.0
Hawk's Landing,,145.0
Highland Manor,,37.0
Indian Springs,,152.0
Junction Ridge,,66.0
Lake View Hill,,110.0
Parkwood Hills,,166.0
Sunset Village,,186.0
Woodland Hills,,50.0
Bram's Addition,,46.0
Cherokee Garden,,17.0
Kennedy Heights,,3.0
Midvale Heights,,441.0
Newbery Heights,,12.0
Oakwood Village,,16.0
Rolling Meadows,,166.0
Sherman Terrace,,5.0
Sherman Village,,94.0
Skyview Meadows,,39.0
Skyview Terrace,,17.0
Wexford Village,,2.0
Wexford Village,,154.0
Whitetail Ridge,,11.0
Bridge-Lakepoint,,29.0
Greater Sandburg,,209.0
Heritage Heights,,243.0
Moorland-Rimrock,,288.0
Parkwood Village,,2.0
Westhaven Trails,,70.0
Westview Meadows,,1.0
Wexford Crossing,,4.0
Worthington Park,,26.0
Appalachian Ridge,,15.0
Brentwood Village,,37.0
Sheridan Triangle,,18.0
Carpenter-Ridgeway,,308.0
High Point Estates,,69.0
North Lake Mendota,,180.0
Allied Dunn's Marsh,,149.0
Oakbridge Community,,20.0
Capitol Neighborhoods,,46.0
South Campus Property,,4.0
"Hill Farms, University",,330.0
Old Middleton Greenway,,34.0
Stonefield Woods-Ridge,,22.0
Wisconsin Co-op Housing,,56.0
Tamarack Trails Community,,30.0
Wexford Ridge Neighborhood,,6.0
Crawford-Marlborough-Nakoma,,258.0
Schenk-Atwood Revitalization,,102.0
University Apartments Assembly,,109.0
Schenk-Atwood-Starkweather-Yahara,,62.0
