GEO_NAME,0,1
Albion,19612.0,3237.0
Belleville,918.0,142.0
Berry,14773.0,8111.0
Black Earth (Town),6106.0,4843.0
Black Earth (Village),478.0,71.0
Blooming Grove,2082.0,267.0
Blue Mounds (Town),15019.0,5775.0
Blue Mounds (Village),450.0,111.0
Bristol,20044.0,1421.0
Brooklyn,376.0,37.0
Burke,7143.0,1975.0
Cambridge,691.0,152.0
Christiana,18551.0,3747.0
Cottage Grove (Town),16274.0,3703.0
Cottage Grove (Village),2554.0,450.0
Cross Plains (Town),15078.0,7241.0
Cross Plains (Village),880.0,324.0
Dane (Town),18486.0,3906.0
Dane (Village),750.0,12.0
DeForest,5211.0,568.0
Deerfield (Town),16733.0,4791.0
Deerfield (Village),1115.0,264.0
Dunkirk,17431.0,2654.0
Dunn,17416.0,4205.0
Edgerton,315.0,27.0
Fitchburg,18688.0,4002.0
Madison,57157.0,9810.0
Maple Bluff,327.0,124.0
Marshall,1309.0,190.0
Mazomanie (Town),13022.0,6620.0
Mazomanie (Village),953.0,196.0
McFarland,2582.0,526.0
Medina,17536.0,3746.0
Middleton (City),5228.0,881.0
Middleton (Town),6323.0,2877.0
Monona,1821.0,326.0
Montrose,17762.0,4011.0
Mount Horeb,1714.0,364.0
Oregon (Town),16341.0,3423.0
Oregon (Village),2699.0,211.0
Perry,16583.0,6489.0
Pleasant Springs,18505.0,3788.0
Primrose,17336.0,5575.0
Rockdale,127.0,63.0
Roxbury,16375.0,6585.0
Rutland,18233.0,4134.0
Shorewood Hills,342.0,171.0
Springdale,16004.0,6614.0
Springfield,20547.0,2456.0
Stoughton,3581.0,543.0
Sun Prairie (City),7644.0,756.0
Sun Prairie (Town),16894.0,2044.0
Vermont,10271.0,12667.0
Verona (City),4868.0,450.0
Verona (Town),11175.0,3288.0
Vienna,21095.0,1236.0
Waunakee,4362.0,383.0
Westport,11422.0,1952.0
Windsor,16515.0,1191.0
York,20035.0,2920.0
