GEO_NAME,0,1
Appalachian Ridge,11.0,12.0
Arbor Hills,123.0,106.0
Bay Creek,322.0,46.0
Berkley Oaks,115.0,13.0
Bram's Addition,113.0,16.0
Brentwood Village,76.0,31.0
Bridge-Lakepoint,64.0,10.0
Burke Heights,203.0,35.0
Burr Oaks,290.0,23.0
Capitol Neighborhoods,449.0,7.0
Capitol View,163.0,37.0
Carpenter-Ridgeway,504.0,143.0
Cherokee Garden Condominium,53.0,9.0
Dudgeon-Monroe,224.0,85.0
University Apartments Assembly,102.0,82.0
East Bluff Homeowners,13.0,2.0
East Buckeye,257.0,98.0
Eken Park,194.0,32.0
Elvehjem,524.0,176.0
Emerson East,304.0,22.0
Faircrest,155.0,51.0
Glen Oak Hills,95.0,43.0
Glendale,416.0,120.0
Greenbush,168.0,11.0
Greentree,206.0,102.0
Hawthorne,239.0,15.0
Heritage Heights Community,277.0,136.0
Highland Manor Home Owners,65.0,13.0
"Hill Farms, University",350.0,136.0
Indian Springs,171.0,63.0
Kennedy Heights,7.0,1.0
Lake Edge,373.0,112.0
Lake View Hill,132.0,114.0
Maple-Prairie,167.0,12.0
Maple Wood Condominium,5.0,1.0
Marbella Condominium,18.0,2.0
Marquette,425.0,28.0
Meadowood,292.0,82.0
Mendota Hills,37.0,18.0
Midvale Heights Community,683.0,174.0
North Lake Mendota,205.0,127.0
Oakbridge Community,37.0,7.0
Oakbridge Condominum,8.0,1.0
Oakwood Village,20.0,9.0
Orchard Ridge,411.0,152.0
Parkwood Hills Community,217.0,107.0
Lerdahl Park,132.0,65.0
Regent,383.0,137.0
Richmond Hill Homeowners,51.0,12.0
Ridgewood,414.0,52.0
Rolling Meadows,262.0,71.0
Sauk Creek,139.0,37.0
Saukborough Property Owners,10.0,3.0
Sheridan Triangle,29.0,9.0
Sherman Terrace,10.0,0.0
Skyview Terrace,15.0,12.0
Spring Harbor,256.0,116.0
Sunset Village Community,169.0,97.0
Tamarack Trails Community Condominium,53.0,11.0
Tenney-Lapham,282.0,24.0
"Highlands Community   Inc., The",52.0,97.0
Truax,21.0,0.0
Vilas,155.0,41.0
Walnut Grove Homeowners,114.0,39.0
Westhaven Trails Homeowners Assoc,131.0,27.0
Westmorland,256.0,87.0
Wexford Crossing Condominium,14.0,1.0
Wexford Village Condominium Owners Assoc,2.0,1.0
Wexford Village Homeowners,342.0,66.0
Crestwood,36.0,38.0
Woodlands Condominium Owners,12.0,2.0
Worthington Park,85.0,13.0
Blackhawk Homeowners,279.0,22.0
Stone Meadows,328.0,25.0
Country Grove,123.0,7.0
Prairie Hills,259.0,74.0
Whitetail Ridge,55.0,8.0
Mayfair Park,309.0,47.0
Junction Ridge,870.0,47.0
Old Middleton Greenway,47.0,32.0
Newbery Heights,25.0,6.0
Glacier Ridge,189.0,7.0
North Star,542.0,56.0
Sprecher East,592.0,125.0
Greystone,34.0,6.0
Summit Woods,77.0,31.0
Leopold,185.0,12.0
VanChaMasShe,12.0,8.0
Majestic Oaks,71.0,12.0
Rocky Bluff,55.0,34.0
Twin Oaks,23.0,3.0
Cardinal Glenn,481.0,40.0
Cherokee Park,99.0,49.0
Dunn's Marsh,358.0,100.0
Sunset Hills,14.0,20.0
Waunona,133.0,60.0
Woodland Hills,64.0,31.0
Monona Bay,80.0,5.0
Secret Places,130.0,19.0
Liberty Place,65.0,9.0
Madison West,2210.0,497.0
Sherman,458.0,52.0
Crawford-Marlborough-Nakoma,203.0,143.0
Greater Sandburg,868.0,160.0
Eastmorland Community,677.0,118.0
Schenk-Atwood-Starkweather-Yahara,504.0,76.0
Elderberry,1030.0,86.0
Campus Area,356.0,15.0
Birchwood-Oaks,607.0,29.0
Arboretum,32.0,49.0
