"GEOID","error"
"550250107022",-169.32385386
"550250026024",-3.02845962
"550250026022",26.57010612
"550250015024",10.56051252
"550250111043",-58.78767324
"550250111031",-36.0448632
"550250111033",8.96142294
"550250026033",-1.64535988
"550250019013",9.16547336
"550250019014",8.95861254
"550250118002",-330.6650673
"550250111014",10.19862462
"550250118003",-54.00113758
"550250111032",13.36652984
"550250017043",2.81798542
"550250017071",2.89663268
"550250017072",2.6440235
"550250017063",0.58514464
"550250017044",1.59728672
"550250017041",1.13075248
"550250017061",4.57836144
"550250128001",-235.56369012
"550250018023",2.73523918
"550250019011",4.1167693
"550250014052",-46
"550250103003",13.29251496
"550250105031",1.75855594000001
"550250120024",-1067.9172043
"550250011014",2.14119876
"550250016063",0.72352344
"550250011012",1.49053736
"550250014042",5.68703984
"550250105041",32.7616187
"550250132012",-67.8397193199999
"550250132022",-83.07503008
"550250112011",0
"550250132023",-186.4349852
"550250111042",4.27105076
"550250137003",23.46380412
"550250108022",16.87358354
"550250109071",-444.12058552
"550250114052",-93.1299457
"550250003021",11.428026
"550250019022",10.9004315
"550250019012",10.67153484
"550250019021",12.13045232
"550250109032",0.476361080000004
"550250115081",1.92413446
"550250003012",4.42543738
"550250005061",25.63900492
"550250118004",-929.4980549
"550250109082",-104.9176554
"550250004101",8.5844277
"550250003022",17.9068763
"550250018042",6.14853448
"550250018043",10.75118008
"550250016042",0.85300646
"550250017062",3.70883288
"550250111013",20.22629082
"550250016033",0.27478076
"550250114044",0
"550250109081",-134.19287776
"550250014043",1.11690504
"550250111034",-75.69472548
"550250112012",-658.8909202
"550250132021",-39.13134134
"550250109072",-171.11000724
"550250107021",-112.90991816
"550250114032",-19.08418012
"550250114031",-49.2258817
"550250109053",3.02944994
"550250005044",-7.90361854
"550250005045",8.74831232
"550250114062",-0.708289919999999
"550250108021",37.6367088
"550250137002",-24.31519322
"550250114053",-112.207943
"550250116002",-96.09567028
"550250109051",0.945201000000001
"550250113012",-0.90470255999999
"550250133023",-3.82846994
"550250115071",2.33036552
"550250114051",-89.1206427
"550250112022",-155.85787594
"550250004062",9.08350332000001
"550250002054",41.90003764
"550250115072",-30.20714952
"550250113013",-59.11703888
"550250109052",21.40586398
"550250112021",-78.20223616
"550250115082",-69.82128718
"550250109061",-9.14625558
"550250109054",-1.18604474
"550250120023",-448.9013321
"550250108011",-2.5805027
"550250109033",-61.20878226
"550250107025",9.6185387
"550250108012",-51.24006754
"550250004091",16.41114448
"550250004102",5.15079236
"550250105032",-356.61626366
"550250004093",-3.28347964
"550250132011",-79.19666732
"550250005051",27.32101472
"550250005052",21.53749782
"550250005062",13.3796699
"550250006004",-17.17027782
"550250104002",11.36521258
"550250014014",-17.14403594
"550250114071",-400.79722486
"550250014051",-120.53173748
"550250015012",7.36568672
"550250014041",10.93121016
"550250103002",10.00463238
"550250011013",1.37192696
"550250002052",12.5114108
"550250105042",4.59142502
"550250111041",27.06067406
"550250122025",12.5587001
"550250120032",-59.45508618
"550250120033",-3.30664154
"550250114042",-18.97805976
"550250125014",-285.70915222
"550250114043",-25.61686968
"550250026031",-9.90686484
"550250125012",8.66997478
"550250112023",-98.2857146
"550250114061",-14.64831558
"550250026023",6.35494984
"550250114041",-1.9378844
"550250004092",9.17323542
"550250116004",-30.43419552
"550250003011",6.14838918
"550250003013",6.33237104
"550250109062",6.5372856
"550250120031",-11.7558966
"550250002053",17.95476592
"550250120041",-198.10922142
"550250016043",1.334367
"550250108014",-9.61964184
"550250108013",5.64782232
"550250031002",5.50105246
"550250115042",11.23922822
"550250115041",4.5466364
"550250125011",23.32818792
"550250133011",1.29819502000001
"550250133021",14.95451736
"550250122021",8.61552564
"550250005043",-18.16487114
"550250004082",18.18773288
"550250016061",0.91527692
"550250105012",-76.7309433
"550250016041",0.57427202
"550250016064",0.51101314
"550250130001",-257.6744181
"550250126002",-642.87256674
"550250127002",-1553.69254836
"550250119002",-1117.51040736
"550250012004",14.11548072
"550259917030",2.40906058
"550250022001",10.62536014
"550250001002",17.23612722
"550250002021",29.5694102
"550250121001",-509.43785492
"550250131002",-336.03604426
"550250106001",-501.67020814
"550250115051",9.95841944
"550259917020",6.10758292
"550250021003",11.42273404
"550250008003",11.96999944
"550250030013",15.92665426
"550250131001",-681.6969529
"550250129002",-777.88634976
"550250117002",-458.0615499
"550250104001",10.11867922
"550250121003",-481.12018976
"550250120021",-162.94868256
"550250119004",-290.6852352
"550250131004",171.29929982
"550250117001",-521.58889578
"550250106004",-104.1152609
"550250015011",9.57320712000001
"550250115053",7.196231
"550250124001",-864.90080458
"550250004012",10.3583032
"550250013001",28.0417182
"550250014011",10.26006152
"550250014012",4.74370862
"550250014013",11.17942786
"550250014022",7.20906134000001
"550250014023",7.43120348
"550250014024",-28.71444988
"550250015021",3.10855222
"550250015023",-48.97821462
"550250018022",6.89973368
"550250020001",13.92088816
"550250020002",11.45136954
"550250020003",18.11461848
"550250020004",20.23025406
"550250021001",15.84885968
"550250021002",11.6877759
"550250021004",15.29183626
"550250022002",16.46803694
"550250023011",11.47209768
"550250023012",9.76984534
"550250024011",16.99711312
"550250024012",13.2881445
"550250024013",11.42044748
"550250026011",18.69918192
"550250026012",13.83292834
"550250030011",-5.93624595999999
"550250030012",-3.2850416
"550250030014",15.83021544
"550250030015",13.16529938
"550250030021",-2.13716669999999
"550250030022",-0.20089016
"550250031001",9.68785428
"550250115052",13.30833924
"550250115061",-57.78436768
"550250115063",-1.2628031
"550250116001",-13.422063
"550250116003",7.94149012
"550250119001",-224.47666332
"550250120022",-450.67874836
"550250121002",-385.49673948
"550250122011",-93.029016
"550250122022",16.3604349
"550250122023",9.09698178
"550250123001",-59.6683421
"550250123002",0.374825300000005
"550250123003",-278.87926176
"550250123004",-61.09810214
"550250125013",-64.87282076
"550250128002",-146.79482168
"550250128003",15.37655934
"550250131003",-366.7391741
"550250110001",41.3893132
"550250113011",13.32567578
"550250113021",1.00442972
"550250111012",27.22989654
"550250016031",0.54659626
"550250016051",2.5995446
"550250137001",-45.45712994
"550250133012",-5.6020147
"550250004081",18.51715778
"550250004061",7.75945642000001
"550250002042",34.37547532
"550250109031",-1.32696246
"550250005042",21.7659777
"550250107011",36.5559891
"550250011021",8.04741548
"550250011011",0.94591794
"550250011022",7.26078802
"550250016032",0.37461118
"550250016052",5.6142256
"550250125021",-165.65391732
"550250105011",-69.26504952
"550250016044",3.18468924
"550250017042",0.61677408
"550250016062",3.57709198
"550250025002",-92.62281932
"550250026032",-6.46733721999999
"550250026021",0
"550250125022",-48.92917792
"550250122024",1.43206572
"550250031003",-43.5484718
"550250031004",26.00355792
"550250032001",2.12738380000002
"550250101001",18.4170272
"550250101002",7.33250868
"550250102001",25.31439784
"550250103001",28.79736624
"550250104003",17.87285324
"550250106002",-289.3251023
"550250118001",-141.12083978
"550250119003",-642.5199436
"550250127001",-2250.58216752
"550250129001",-430.21323918
"550250106003",-222.00605866
"550250106005",-510.48439474
"550250107012",8.57857556
"550250107013",8.2544235
"550250107023",3.89451054
"550250110002",45.38803418
"550250111011",18.95614244
"550250113022",-19.20132606
"550250107024",-220.49284886
"550250125023",-3.08539032
"550250133022",-16.8038149
"550250002043",21.37187916
"550250018021",15.60106642
"550250018041",12.04261868
"550250024021",0.477902020000002
"550250024022",0.437183700000006
"550250028002",4.86649638
"550250029001",3.2458948
"550250029003",-6.54970492
"550250130002",-120.48259188
"550250129003",-689.348234159999
"550250128004",-54.30498784
"550250014021",-65.23198816
"550250022003",9.34403898
"550250015022",-114.66430238
"550250126001",-3454.93521824
"550250009021",6.82066008
"550250029002",21.94812802
"550250013002",8.9252873
"550250126003",-437.4851213
"550250115062",-2.70218351999999
"550250124002",-1839.88082016
"550250113023",10.91328096
"550250023021",-48.56234792
"550250004011",20.47912368
"550250004071",21.30790334
"550250027001",19.74522088
"550250027002",22.50319372
"550250027003",-11.5363622
"550250028001",23.19856726
"550250001001",29.06579014
"550250002011",27.3380511
"550250002012",19.21058316
"550250002022",25.70070374
"550250002041",38.63999334
"550250002051",35.05962638
"550250025001",-61.58092714
"550250004021",18.8015417
"550250004022",15.26673956
"550250004072",20.55232412
"550250004073",37.14034798
"550250004074",13.91594606
"550250005011",43.87346502
"550250005012",19.31213806
"550250005013",17.5747863
"550250005014",25.6090426
"550250005041",13.34291482
"550250006001",9.72546204
"550250006002",3.86881162
"550250006003",7.48231072
"550250007001",11.08620666
"550250007002",13.48113876
"550250007003",12.74585178
"550250008001",10.93612168
