GEO_NAME,error
Albion,-907.1600058
Belleville,19.40815244
Berry,-863.1448206
Black Earth (Town),-318.308443
Black Earth (Village),26.36333324
Blooming Grove,-102.8593882
Blue Mounds (Town),-1041.431594
Blue Mounds (Village),-29.61690792
Bristol,-620.6785763
Brooklyn,-11.54564608
Burke,-369
Cambridge,24.24491784
Christiana,-954.907651
Cottage Grove (Town),-1235.147116
Cottage Grove (Village),-83.98219128
Cross Plains (Town),-811.3703772
Cross Plains (Village),1.99298926
Dane (Town),-83.7299591
Dane (Village),3.9061976
DeForest,-157.3617025
Deerfield (Town),-1327.017249
Deerfield (Village),-11.57559504
Dunkirk,-955.3304537
Dunn,-1809.932342
Edgerton,3.90238922
Fitchburg,-850.1059067
Madison,295.426331
Maple Bluff,25.99485714
Marshall,10.09871006
Mazomanie (Town),-843.2040396
Mazomanie (Village),19.34550534
McFarland,-38.66704782
Medina,-662.2401788
Middleton (City),59.35351394
Middleton (Town),-371.1048627
Monona,97.1810242
Montrose,-932.1147068
Mount Horeb,47.10712404
Oregon (Town),-941.2781402
Oregon (Village),11.86785758
Perry,-2017.23946
Pleasant Springs,-1057.939319
Primrose,-1604.56731
Rockdale,-8.53918216
Roxbury,-603.2115455
Rutland,-1996.279924
Shorewood Hills,28.81391892
Springdale,-1511.971403
Springfield,-226.7515264
Stoughton,25.60495122
Sun Prairie (City),-164.3000171
Sun Prairie (Town),-441.0957756
Vermont,-1689.338502
Verona (City),79.91437638
Verona (Town),-641.9039955
Vienna,-110.1127928
Waunakee,-19.52780868
Westport,-538.8873968
Windsor,-301.8563466
York,-806.1537961
