GEO_NAME,error
Appalachian Ridge,0.89930734
Arbor Hills,14.60759916
Bay Creek,36.91956134
Berkley Oaks,10.18819746
Bram's Addition,10.42583504
Brentwood Village,8.75228512
Bridge-Lakepoint,6.67436436
Burke Heights,-8.96644152
Burr Oaks,15.90336808
Capitol Neighborhoods,35.95786692
Capitol View,-4.5371862
Carpenter-Ridgeway,-88.10094312
Cherokee Garden Condominium,4.83534108
Dudgeon-Monroe,27.53968878
University Apartments Assembly,2.46062474
East Bluff Homeowners,2.88025588
East Buckeye,22.36686058
Eken Park,24.93596682
Elvehjem,40.19839518
Emerson East,22.30819394
Faircrest,26.43100082
Glen Oak Hills,14.14875816
Glendale,14.39800632
Greenbush,21.47016864
Greentree,48.31541494
Hawthorne,20.66036206
Heritage Heights Community,-7.60776934
Highland Manor Home Owners,2.63976966
"Hill Farms, University",43.60694148
Indian Springs,1.12247804
Kennedy Heights,2.26743548
Lake Edge,32.63226186
Lake View Hill,-1.28113572
Maple-Prairie,12.07649644
Maple Wood Condominium,0
Marbella Condominium,3.17508608
Marquette,46.67825112
Meadowood,63.3730339
Mendota Hills,6.85608834
Midvale Heights Community,44.37617504
North Lake Mendota,-15.6889364
Oakbridge Community,7.46694146
Oakbridge Condominum,2.14783666
Oakwood Village,1.85313264
Orchard Ridge,61.92237364
Parkwood Hills Community,50.28011286
Lerdahl Park,-2.04611544
Regent,26.50810904
Richmond Hill Homeowners,3.7720822
Ridgewood,10.21342224
Rolling Meadows,36.62243502
Sauk Creek,19.56826502
Saukborough Property Owners,1.7411697
Sheridan Triangle,4.78761588
Sherman Terrace,2.93659582
Skyview Terrace,0
Spring Harbor,38.91325418
Sunset Village Community,22.68766118
Tamarack Trails Community Condominium,12.47413188
Tenney-Lapham,41.0151666
"Highlands Community   Inc., The",4.81688228
Truax,1.40383744
Vilas,22.53847668
Walnut Grove Homeowners,28.60893554
Westhaven Trails Homeowners Assoc,20.60725886
Westmorland,14.8765947
Wexford Crossing Condominium,1.79030966
Wexford Village Condominium Owners Assoc,0.5567615
Wexford Village Homeowners,44.21210498
Crestwood,6.13423202
Woodlands Condominium Owners,3.60702562
Worthington Park,11.12055856
Blackhawk Homeowners,7.42498236
Stone Meadows,10.1712299
Country Grove,9.58441814
Prairie Hills,49.17508798
Whitetail Ridge,-0.92686648
Mayfair Park,9.69902706
Junction Ridge,20.30984194
Old Middleton Greenway,5.43754122
Newbery Heights,1.20657022
Glacier Ridge,0.65954762
North Star,-6.46306426
Sprecher East,-55.91482
Greystone,1.74893176
Summit Woods,9.8995597
Leopold,7.43120348
VanChaMasShe,0
Majestic Oaks,5.80554318
Rocky Bluff,7.9916185
Twin Oaks,-1.4531227
Cardinal Glenn,1.19451608
Cherokee Park,4.69987974
Dunn's Marsh,2.03995548
Sunset Hills,3.8622999
Waunona,11.17598846
Woodland Hills,13.86608916
Monona Bay,9.651776
Secret Places,-8.93195388
Liberty Place,-6.72310666
Madison West,2.02942886
Sherman,35.37352716
Crawford-Marlborough-Nakoma,34.9750983
Greater Sandburg,-1.18650742
Eastmorland Community,31.2457992
Schenk-Atwood-Starkweather-Yahara,57.89125658
Elderberry,-9.14526716
Campus Area,17.57804216
Birchwood-Oaks,3.02944994
Arboretum,1.0110963
